================================================================================
API ENDPOINT MAP: ISSSTE (Public Workers Security)
================================================================================

BASE URL: https://repodatos.atdt.gob.mx/api_update/
AGENCY PATH: /api_update/ISSSTE/
FULL ENDPOINT: https://repodatos.atdt.gob.mx/api_update/ISSSTE/

ACCESS STATUS: OPEN (No Authentication Required)
DIRECTORY LISTING: ENABLED

================================================================================
AVAILABLE FILES
================================================================================

FILE: abasto_medicamentos_material_curacion_abasto_
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_abasto_
  Size: 146
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_abasto_central_issste052025.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_abasto_central_issste052025.csv
  Size: 995
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_abasto_insumos_deleg_hosp_052025.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_abasto_insumos_deleg_hosp_052025.csv
  Size: 65K
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_abasto_unidades_medicas_issste052025.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_abasto_unidades_medicas_issste052025.csv
  Size: 904
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_insumos_deleg_hosp_052025.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_insumos_deleg_hosp_052025.csv
  Size: 146
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_inventario_almacen_central_issste_052025.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_inventario_almacen_central_issste_052025.csv
  Size: 7.7M
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_ISSSTE_31_valores_abasto_delegaciones_hospitales.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_ISSSTE_31_valores_abasto_delegaciones_hospitales.csv
  Size: 70K
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_ISSSTE_32_valores_abasto_insumos_unidades_medicas.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_ISSSTE_32_valores_abasto_insumos_unidades_medicas.csv
  Size: 994
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_ISSSTE_33_valores_abasto_insumos_almacen_central.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_ISSSTE_33_valores_abasto_insumos_almacen_central.csv
  Size: 994
  Status: OPEN

FILE: abasto_medicamentos_material_curacion_ISSSTE_34_valores_inventario_insumos_almacen_central.csv
  Route: /api_update/ISSSTE/abasto_medicamentos_material_curacion_ISSSTE_34_valores_inventario_insumos_almacen_central.csv
  Size: 7.7M
  Status: OPEN

FILE: academicos_contratados_escuela_ISSSTE_20_academicos_contratados_desarrollo_programas.csv
  Route: /api_update/ISSSTE/academicos_contratados_escuela_ISSSTE_20_academicos_contratados_desarrollo_programas.csv
  Size: 41K
  Status: OPEN

FILE: creditos_otorgados_fovissste_creditos_otorgados_fovissste.csv
  Route: /api_update/ISSSTE/creditos_otorgados_fovissste_creditos_otorgados_fovissste.csv
  Size: 333K
  Status: OPEN

FILE: creditos_otorgados_fovissste_ISSSTE_29_creditos_otorgados_fovissste.csv
